question,answer,source,focus_area
what to do for causes of diabetes ?,"- diabetes is a complex group of diseases with a variety of causes. scientists believe genes and environmental factors interact to cause diabetes in most cases. - people with diabetes have high blood glucose, also called high blood sugar or hyperglycemia. diabetes develops when the body doesnt make enough insulin or is not able to use insulin effectively, or both. - insulin is a hormone made by beta cells in the pancreas. insulin helps cells throughout the body absorb and use glucose for energy. if the body does not produce enough insulin or cannot use insulin effectively, glucose builds up in the blood instead of being absorbed by cells in the body, and the body is starved of energy. - prediabetes is a condition in which blood glucose levels or a1c levels are higher than normal but not high enough to be diagnosed as diabetes. people with prediabetes can substantially reduce their risk of developing diabetes by losing weight and increasing physical activity. - the two main types of diabetes are type 1 diabetes and type 2 diabetes. gestational diabetes is a third form of diabetes that develops only during pregnancy. - type 1 diabetes is caused by a lack of insulin due to the destruction of insulin-producing beta cells. in type 1 diabetesan autoimmune diseasethe bodys immune system attacks and destroys the beta cells. - type 2 diabetesthe most common form of diabetesis caused by a combination of factors, including insulin resistance, a condition in which the bodys muscle, fat, and liver cells do not use insulin effectively. type 2 diabetes develops when the body can no longer produce enough insulin to compensate for the impaired ability to use insulin. - scientists believe gestational diabetes is caused by the hormonal changes and metabolic demands of pregnancy together with genetic and environmental factors. risk factors for gestational diabetes include being overweight and having a family history of diabetes. - monogenic forms of diabetes are relatively uncommon and are caused by mutations in single genes that limit insulin production, quality, or action in the body. - other types of diabetes are caused by diseases and injuries that damage the pancreas; certain chemical toxins and medications; infections; and other conditions.",niddk,causes of diabetes
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"you already know you need to watch how much you drink. any food that is liquid at room temperature also contains water. these foods include soup, jell-o, and ice cream. many fruits and vegetables contain lots of water, too. they include melons, grapes, apples, oranges, tomatoes, lettuce, and celery. all these foods add to your fluid intake. fluid can build up between dialysis sessions, causing swelling and weight gain. the extra fluid affects your blood pressure and can make your heart work harder. you could have serious heart trouble from overloading your system with fluid. control your thirst the best way to reduce fluid intake is to reduce thirst caused by the salt you eat. avoid salty foods like chips and pretzels. choose low-sodium products. you can keep your fluids down by drinking from smaller cups or glasses. freeze juice in an ice cube tray and eat it like a popsicle. (remember to count the popsicle in your fluid allowance!) the dietitian will be able to give you other tips for managing your thirst. your dry weight is your weight after a dialysis session when all of the extra fluid in your body has been removed. if you let too much fluid build up between sessions, it is harder to get down to your proper dry weight. your dry weight may change over a period of 3 to 6 weeks. talk with your doctor regularly about what your dry weight should be. my dry weight should be _____________. talk with a dietitian even though you are on hemodialysis, your kidneys may still be able to remove some fluid. or your kidneys may not remove any fluid at all. that is why every patient has a different daily allowance for fluid. talk with your dietitian about how much fluid you can have each day. i can have _____ ounces of fluid each day. plan 1 day of fluid servings: i can have _____ ounce(s) of ______________ with breakfast. i can have _____ ounce(s) of ______________ in the morning. i can have _____ ounce(s) of ______________ with lunch. i can have _____ ounce(s) of ______________ in the afternoon. i can have _____ ounce(s) of ______________ with supper. i can have _____ ounce(s) of ______________ in the evening. total _______ ounces (should equal the allowance written above)",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"you already know you need to watch how much you drink. any food that is liquid at room temperature also contains water. these foods include soup, jell-o, and ice cream. many fruits and vegetables contain lots of water, too. they include melons, grapes, apples, oranges, tomatoes, lettuce, and celery. all these foods add to your fluid intake. fluid can build up between dialysis sessions, causing swelling and weight gain. the extra fluid affects your blood pressure and can make your heart work harder. you could have serious heart trouble from overloading your system with fluid. control your thirst the best way to reduce fluid intake is to reduce thirst caused by the salt you eat. avoid salty foods like chips and pretzels. choose low-sodium products. you can keep your fluids down by drinking from smaller cups or glasses. freeze juice in an ice cube tray and eat it like a popsicle. (remember to count the popsicle in your fluid allowance!) the dietitian will be able to give you other tips for managing your thirst. your dry weight is your weight after a dialysis session when all of the extra fluid in your body has been removed. if you let too much fluid build up between sessions, it is harder to get down to your proper dry weight. your dry weight may change over a period of 3 to 6 weeks. talk with your doctor regularly about what your dry weight should be. my dry weight should be _____________. talk with a dietitian even though you are on hemodialysis, your kidneys may still be able to remove some fluid. or your kidneys may not remove any fluid at all. that is why every patient has a different daily allowance for fluid. talk with your dietitian about how much fluid you can have each day. i can have _____ ounces of fluid each day. plan 1 day of fluid servings: i can have _____ ounce(s) of ______________ with breakfast. i can have _____ ounce(s) of ______________ in the morning. i can have _____ ounce(s) of ______________ with lunch. i can have _____ ounce(s) of ______________ in the afternoon. i can have _____ ounce(s) of ______________ with supper. i can have _____ ounce(s) of ______________ in the evening. total _______ ounces (should equal the allowance written above)",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"potassium is a mineral found in many foods, especially milk, fruits, and vegetables. it affects how steadily your heart beats. healthy kidneys keep the right amount of potassium in the blood to keep the heart beating at a steady pace. potassium levels can rise between dialysis sessions and affect your heartbeat. eating too much potassium can be very dangerous to your heart. it may even cause death. to control potassium levels in your blood, avoid foods like avocados, bananas, kiwis, and dried fruit, which are very high in potassium. also, eat smaller portions of other high-potassium foods. for example, eat half a pear instead of a whole pear. eat only very small portions of oranges and melons. dicing and boiling potatoes to reduce potassium you can remove some of the potassium from potatoes by dicing or shredding them and then boiling them in water. your dietitian will give you more specific information about the potassium content of foods. talk with a dietitian make a food plan that reduces the potassium in your diet. start by noting the high-potassium foods (below) that you now eat. a dietitian can help you add other foods to the list. high-potassium foods apricots avocados bananas beets brussels sprouts cantaloupe clams dates figs kiwi fruit lima beans melons milk nectarines orange juice oranges peanuts pears (fresh) potatoes prune juice prunes raisins sardines spinach tomatoes winter squash yogurt others:______________________________________ changes: talk with a dietitian about foods you can eat instead of high-potassium foods. instead of _________, i will eat _________. instead of _________, i will eat _________. instead of _________, i will eat _________. instead of _________, i will eat _________.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"potassium is a mineral found in many foods, especially milk, fruits, and vegetables. it affects how steadily your heart beats. healthy kidneys keep the right amount of potassium in the blood to keep the heart beating at a steady pace. potassium levels can rise between dialysis sessions and affect your heartbeat. eating too much potassium can be very dangerous to your heart. it may even cause death. to control potassium levels in your blood, avoid foods like avocados, bananas, kiwis, and dried fruit, which are very high in potassium. also, eat smaller portions of other high-potassium foods. for example, eat half a pear instead of a whole pear. eat only very small portions of oranges and melons. dicing and boiling potatoes to reduce potassium you can remove some of the potassium from potatoes by dicing or shredding them and then boiling them in water. your dietitian will give you more specific information about the potassium content of foods. talk with a dietitian make a food plan that reduces the potassium in your diet. start by noting the high-potassium foods (below) that you now eat. a dietitian can help you add other foods to the list. high-potassium foods apricots avocados bananas beets brussels sprouts cantaloupe clams dates figs kiwi fruit lima beans melons milk nectarines orange juice oranges peanuts pears (fresh) potatoes prune juice prunes raisins sardines spinach tomatoes winter squash yogurt others:______________________________________ changes: talk with a dietitian about foods you can eat instead of high-potassium foods. instead of _________, i will eat _________. instead of _________, i will eat _________. instead of _________, i will eat _________. instead of _________, i will eat _________.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"phosphorus is a mineral found in many foods. if you have too much phosphorus in your blood, it pulls calcium from your bones. losing calcium will make your bones weak and likely to break. also, too much phosphorus may make your skin itch. foods like milk and cheese, dried beans, peas, colas, nuts, and peanut butter are high in phosphorus. usually, people on dialysis are limited to 1/2 cup of milk per day. the renal dietitian will give you more specific information regarding phosphorus. you probably will need to take a phosphate binder like renagel, phoslo, tums, or calcium carbonate to control the phosphorus in your blood between dialysis sessions. these medications act like sponges to soak up, or bind, phosphorus while it is in the stomach. because it is bound, the phosphorus does not get into the blood. instead, it is passed out of the body in the stool.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"phosphorus is a mineral found in many foods. if you have too much phosphorus in your blood, it pulls calcium from your bones. losing calcium will make your bones weak and likely to break. also, too much phosphorus may make your skin itch. foods like milk and cheese, dried beans, peas, colas, nuts, and peanut butter are high in phosphorus. usually, people on dialysis are limited to 1/2 cup of milk per day. the renal dietitian will give you more specific information regarding phosphorus. you probably will need to take a phosphate binder like renagel, phoslo, tums, or calcium carbonate to control the phosphorus in your blood between dialysis sessions. these medications act like sponges to soak up, or bind, phosphorus while it is in the stomach. because it is bound, the phosphorus does not get into the blood. instead, it is passed out of the body in the stool.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"before you were on dialysis, your doctor may have told you to follow a low-protein diet. being on dialysis changes this. most people on dialysis are encouraged to eat as much high-quality protein as they can. protein helps you keep muscle and repair tissue. the better nourished you are, the healthier you will be. you will also have greater resistance to infection and recover from surgery more quickly. your body breaks protein down into a waste product called urea. if urea builds up in your blood, it's a sign you have become very sick. eating mostly high-quality proteins is important because they produce less waste than others. high-quality proteins come from meat, fish, poultry, and eggs (especially egg whites). talk with a dietitian meat, fish, and chicken are good sources of protein. talk with a dietitian about the meats you eat. i will eat ______ servings of meat each day. a regular serving size is 3 ounces. this is about the size of the palm of your hand or a deck of cards. try to choose lean (low-fat) meats that are also low in phosphorus. if you are a vegetarian, ask about other ways to get your protein. low-fat milk is a good source of protein. but milk is high in phosphorus and potassium. and milk adds to your fluid intake. talk with a dietitian to see if milk fits into your food plan. i (will) (will not) drink milk. i will drink ______ cup(s) of milk a day.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"before you were on dialysis, your doctor may have told you to follow a low-protein diet. being on dialysis changes this. most people on dialysis are encouraged to eat as much high-quality protein as they can. protein helps you keep muscle and repair tissue. the better nourished you are, the healthier you will be. you will also have greater resistance to infection and recover from surgery more quickly. your body breaks protein down into a waste product called urea. if urea builds up in your blood, it's a sign you have become very sick. eating mostly high-quality proteins is important because they produce less waste than others. high-quality proteins come from meat, fish, poultry, and eggs (especially egg whites). talk with a dietitian meat, fish, and chicken are good sources of protein. talk with a dietitian about the meats you eat. i will eat ______ servings of meat each day. a regular serving size is 3 ounces. this is about the size of the palm of your hand or a deck of cards. try to choose lean (low-fat) meats that are also low in phosphorus. if you are a vegetarian, ask about other ways to get your protein. low-fat milk is a good source of protein. but milk is high in phosphorus and potassium. and milk adds to your fluid intake. talk with a dietitian to see if milk fits into your food plan. i (will) (will not) drink milk. i will drink ______ cup(s) of milk a day.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"sodium is found in salt and other foods. most canned foods and frozen dinners contain large amounts of sodium. too much sodium makes you thirsty. but if you drink more fluid, your heart has to work harder to pump the fluid through your body. over time, this can cause high blood pressure and congestive heart failure. try to eat fresh foods that are naturally low in sodium look for products labeled low sodium. do not use salt substitutes because they contain potassium. talk with a dietitian about spices you can use to flavor your food. the dietitian can help you find spice blends without sodium or potassium. talk with a dietitian talk with a dietitian about spices and other healthy foods you can use to flavor your diet. list them on the lines below. spice: _____________________________ spice: _____________________________ spice: _____________________________ food: _____________________________ food: _____________________________",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"sodium is found in salt and other foods. most canned foods and frozen dinners contain large amounts of sodium. too much sodium makes you thirsty. but if you drink more fluid, your heart has to work harder to pump the fluid through your body. over time, this can cause high blood pressure and congestive heart failure. try to eat fresh foods that are naturally low in sodium look for products labeled low sodium. do not use salt substitutes because they contain potassium. talk with a dietitian about spices you can use to flavor your food. the dietitian can help you find spice blends without sodium or potassium. talk with a dietitian talk with a dietitian about spices and other healthy foods you can use to flavor your diet. list them on the lines below. spice: _____________________________ spice: _____________________________ spice: _____________________________ food: _____________________________ food: _____________________________",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"calories provide energy for your body. if your doctor recommends it, you may need to cut down on the calories you eat. a dietitian can help you plan ways to cut calories in the best possible way. some people on dialysis need to gain weight. you may need to find ways to add calories to your diet. vegetable oils-like olive oil, canola oil, and safflower oil-are good sources of calories. use them generously on breads, rice, and noodles. butter and margarines are rich in calories. but these fatty foods can also clog your arteries. use them less often. soft margarine that comes in a tub is better than stick margarine. vegetable oils are the healthiest way to add fat to your diet if you need to gain weight. hard candy, sugar, honey, jam, and jelly provide calories and energy without clogging arteries or adding other things that your body does not need. if you have diabetes, be very careful about eating sweets. a dietitian's guidance is very important for people with diabetes.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) kidney failure: eat right to feel right on hemodialysis ?,"calories provide energy for your body. if your doctor recommends it, you may need to cut down on the calories you eat. a dietitian can help you plan ways to cut calories in the best possible way. some people on dialysis need to gain weight. you may need to find ways to add calories to your diet. vegetable oils-like olive oil, canola oil, and safflower oil-are good sources of calories. use them generously on breads, rice, and noodles. butter and margarines are rich in calories. but these fatty foods can also clog your arteries. use them less often. soft margarine that comes in a tub is better than stick margarine. vegetable oils are the healthiest way to add fat to your diet if you need to gain weight. hard candy, sugar, honey, jam, and jelly provide calories and energy without clogging arteries or adding other things that your body does not need. if you have diabetes, be very careful about eating sweets. a dietitian's guidance is very important for people with diabetes.",niddk,kidney failure: eat right to feel right on hemodialysis
what is (are) causes of diabetes ?,"diabetes is a complex group of diseases with a variety of causes. people with diabetes have high blood glucose, also called high blood sugar or hyperglycemia. diabetes is a disorder of metabolismthe way the body uses digested food for energy. the digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose, a form of sugar that enters the bloodstream. with the help of the hormone insulin, cells throughout the body absorb glucose and use it for energy. diabetes develops when the body doesnt make enough insulin or is not able to use insulin effectively, or both. insulin is made in the pancreas, an organ located behind the stomach. the pancreas contains clusters of cells called islets. beta cells within the islets make insulin and release it into the blood. if beta cells dont produce enough insulin, or the body doesnt respond to the insulin that is present, glucose builds up in the blood instead of being absorbed by cells in the body, leading to prediabetes or diabetes. prediabetes is a condition in which blood glucose levels or a1c levelswhich reflect average blood glucose levelsare higher than normal but not high enough to be diagnosed as diabetes. in diabetes, the bodys cells are starved of energy despite high blood glucose levels. over time, high blood glucose damages nerves and blood vessels, leading to complications such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. other complications of diabetes may include increased susceptibility to other diseases, loss of mobility with aging, depression, and pregnancy problems. no one is certain what starts the processes that cause diabetes, but scientists believe genes and environmental factors interact to cause diabetes in most cases. the two main types of diabetes are type 1 diabetes and type 2 diabetes. a third type, gestational diabetes, develops only during pregnancy. other types of diabetes are caused by defects in specific genes, diseases of the pancreas, certain drugs or chemicals, infections, and other conditions. some people show signs of both type 1 and type 2 diabetes.",niddk,causes of diabetes
what causes causes of diabetes ?,"type 1 diabetes is caused by a lack of insulin due to the destruction of insulin-producing beta cells in the pancreas. in type 1 diabetesan autoimmune diseasethe bodys immune system attacks and destroys the beta cells. normally, the immune system protects the body from infection by identifying and destroying bacteria, viruses, and other potentially harmful foreign substances. but in autoimmune diseases, the immune system attacks the bodys own cells. in type 1 diabetes, beta cell destruction may take place over several years, but symptoms of the disease usually develop over a short period of time. type 1 diabetes typically occurs in children and young adults, though it can appear at any age. in the past, type 1 diabetes was called juvenile diabetes or insulin-dependent diabetes mellitus. latent autoimmune diabetes in adults (lada) may be a slowly developing kind of type 1 diabetes. diagnosis usually occurs after age 30. in lada, as in type 1 diabetes, the bodys immune system destroys the beta cells. at the time of diagnosis, people with lada may still produce their own insulin, but eventually most will need insulin shots or an insulin pump to control blood glucose levels. genetic susceptibility heredity plays an important part in determining who is likely to develop type 1 diabetes. genes are passed down from biological parent to child. genes carry instructions for making proteins that are needed for the bodys cells to function. many genes, as well as interactions among genes, are thought to influence susceptibility to and protection from type 1 diabetes. the key genes may vary in different population groups. variations in genes that affect more than 1 percent of a population group are called gene variants. certain gene variants that carry instructions for making proteins called human leukocyte antigens (hlas) on white blood cells are linked to the risk of developing type 1 diabetes. the proteins produced by hla genes help determine whether the immune system recognizes a cell as part of the body or as foreign material. some combinations of hla gene variants predict that a person will be at higher risk for type 1 diabetes, while other combinations are protective or have no effect on risk. while hla genes are the major risk genes for type 1 diabetes, many additional risk genes or gene regions have been found. not only can these genes help identify people at risk for type 1 diabetes, but they also provide important clues to help scientists better understand how the disease develops and identify potential targets for therapy and prevention. genetic testing can show what types of hla genes a person carries and can reveal other genes linked to diabetes. however, most genetic testing is done in a research setting and is not yet available to individuals. scientists are studying how the results of genetic testing can be used to improve type 1 diabetes prevention or treatment. autoimmune destruction of beta cells in type 1 diabetes, white blood cells called t cells attack and destroy beta cells. the process begins well before diabetes symptoms appear and continues after diagnosis. often, type 1 diabetes is not diagnosed until most beta cells have already been destroyed. at this point, a person needs daily insulin treatment to survive. finding ways to modify or stop this autoimmune process and preserve beta cell function is a major focus of current scientific research. recent research suggests insulin itself may be a key trigger of the immune attack on beta cells. the immune systems of people who are susceptible to developing type 1 diabetes respond to insulin as if it were a foreign substance, or antigen. to combat antigens, the body makes proteins called antibodies. antibodies to insulin and other proteins produced by beta cells are found in people with type 1 diabetes. researchers test for these antibodies to help identify people at increased risk of developing the disease. testing the types and levels of antibodies in the blood can help determine whether a person has type 1 diabetes, lada, or another type of diabetes. environmental factors environmental factors, such as foods, viruses, and toxins, may play a role in the development of type 1 diabetes, but the exact nature of their role has not been determined. some theories suggest that environmental factors trigger the autoimmune destruction of beta cells in people with a genetic susceptibility to diabetes. other theories suggest that environmental factors play an ongoing role in diabetes, even after diagnosis. viruses and infections. a virus cannot cause diabetes on its own, but people are sometimes diagnosed with type 1 diabetes during or after a viral infection, suggesting a link between the two. also, the onset of type 1 diabetes occurs more frequently during the winter when viral infections are more common. viruses possibly associated with type 1 diabetes include coxsackievirus b, cytomegalovirus, adenovirus, rubella, and mumps. scientists have described several ways these viruses may damage or destroy beta cells or possibly trigger an autoimmune response in susceptible people. for example, anti-islet antibodies have been found in patients with congenital rubella syndrome, and cytomegalovirus has been associated with significant beta cell damage and acute pancreatitisinflammation of the pancreas. scientists are trying to identify a virus that can cause type 1 diabetes so that a vaccine might be developed to prevent the disease. infant feeding practices. some studies have suggested that dietary factors may raise or lower the risk of developing type 1 diabetes. for example, breastfed infants and infants receiving vitamin d supplements may have a reduced risk of developing type 1 diabetes, while early exposure to cows milk and cereal proteins may increase risk. more research is needed to clarify how infant nutrition affects the risk for type 1 diabetes. read more in the centers for disease control and preventions (cdcs) publication national diabetes statistics report, 2014 at www.cdc.gov for information about research studies related to type 1 diabetes.",niddk,causes of diabetes
what causes causes of diabetes ?,"type 2 diabetesthe most common form of diabetesis caused by a combination of factors, including insulin resistance, a condition in which the bodys muscle, fat, and liver cells do not use insulin effectively. type 2 diabetes develops when the body can no longer produce enough insulin to compensate for the impaired ability to use insulin. symptoms of type 2 diabetes may develop gradually and can be subtle; some people with type 2 diabetes remain undiagnosed for years. type 2 diabetes develops most often in middle-aged and older people who are also overweight or obese. the disease, once rare in youth, is becoming more common in overweight and obese children and adolescents. scientists think genetic susceptibility and environmental factors are the most likely triggers of type 2 diabetes. genetic susceptibility genes play a significant part in susceptibility to type 2 diabetes. having certain genes or combinations of genes may increase or decrease a persons risk for developing the disease. the role of genes is suggested by the high rate of type 2 diabetes in families and identical twins and wide variations in diabetes prevalence by ethnicity. type 2 diabetes occurs more frequently in african americans, alaska natives, american indians, hispanics/latinos, and some asian americans, native hawaiians, and pacific islander americans than it does in non-hispanic whites. recent studies have combined genetic data from large numbers of people, accelerating the pace of gene discovery. though scientists have now identified many gene variants that increase susceptibility to type 2 diabetes, the majority have yet to be discovered. the known genes appear to affect insulin production rather than insulin resistance. researchers are working to identify additional gene variants and to learn how they interact with one another and with environmental factors to cause diabetes. studies have shown that variants of the tcf7l2 gene increase susceptibility to type 2 diabetes. for people who inherit two copies of the variants, the risk of developing type 2 diabetes is about 80 percent higher than for those who do not carry the gene variant.1 however, even in those with the variant, diet and physical activity leading to weight loss help delay diabetes, according to the diabetes prevention program (dpp), a major clinical trial involving people at high risk. genes can also increase the risk of diabetes by increasing a persons tendency to become overweight or obese. one theory, known as the thrifty gene hypothesis, suggests certain genes increase the efficiency of metabolism to extract energy from food and store the energy for later use. this survival trait was advantageous for populations whose food supplies were scarce or unpredictable and could help keep people alive during famine. in modern times, however, when high-calorie foods are plentiful, such a trait can promote obesity and type 2 diabetes. obesity and physical inactivity physical inactivity and obesity are strongly associated with the development of type 2 diabetes. people who are genetically susceptible to type 2 diabetes are more vulnerable when these risk factors are present. an imbalance between caloric intake and physical activity can lead to obesity, which causes insulin resistance and is common in people with type 2 diabetes. central obesity, in which a person has excess abdominal fat, is a major risk factor not only for insulin resistance and type 2 diabetes but also for heart and blood vessel disease, also called cardiovascular disease (cvd). this excess belly fat produces hormones and other substances that can cause harmful, chronic effects in the body such as damage to blood vessels. the dpp and other studies show that millions of people can lower their risk for type 2 diabetes by making lifestyle changes and losing weight. the dpp proved that people with prediabetesat high risk of developing type 2 diabetescould sharply lower their risk by losing weight through regular physical activity and a diet low in fat and calories. in 2009, a follow-up study of dpp participantsthe diabetes prevention program outcomes study (dppos)showed that the benefits of weight loss lasted for at least 10 years after the original study began.2 read more about the dpp, funded under national institutes of health (nih) clinical trial number nct00004992, and the dppos, funded under nih clinical trial number nct00038727 in diabetes prevention program. insulin resistance insulin resistance is a common condition in people who are overweight or obese, have excess abdominal fat, and are not physically active. muscle, fat, and liver cells stop responding properly to insulin, forcing the pancreas to compensate by producing extra insulin. as long as beta cells are able to produce enough insulin, blood glucose levels stay in the normal range. but when insulin production falters because of beta cell dysfunction, glucose levels rise, leading to prediabetes or diabetes. abnormal glucose production by the liver in some people with diabetes, an abnormal increase in glucose production by the liver also contributes to high blood glucose levels. normally, the pancreas releases the hormone glucagon when blood glucose and insulin levels are low. glucagon stimulates the liver to produce glucose and release it into the bloodstream. but when blood glucose and insulin levels are high after a meal, glucagon levels drop, and the liver stores excess glucose for later, when it is needed. for reasons not completely understood, in many people with diabetes, glucagon levels stay higher than needed. high glucagon levels cause the liver to produce unneeded glucose, which contributes to high blood glucose levels. metformin, the most commonly used drug to treat type 2 diabetes, reduces glucose production by the liver. the roles of insulin and glucagon in normal blood glucose regulation a healthy persons body keeps blood glucose levels in a normal range through several complex mechanisms. insulin and glucagon, two hormones made in the pancreas, help regulate blood glucose levels: - insulin, made by beta cells, lowers elevated blood glucose levels. - glucagon, made by alpha cells, raises low blood glucose levels. - insulin helps muscle, fat, and liver cells absorb glucose from the bloodstream, lowering blood glucose levels. - insulin stimulates the liver and muscle tissue to store excess glucose. the stored form of glucose is called glycogen. - insulin also lowers blood glucose levels by reducing glucose production in the liver. - glucagon signals the liver and muscle tissue to break down glycogen into glucose, which enters the bloodstream and raises blood glucose levels. - if the body needs more glucose, glucagon stimulates the liver to make glucose from amino acids. metabolic syndrome metabolic syndrome, also called insulin resistance syndrome, refers to a group of conditions common in people with insulin resistance, including - higher than normal blood glucose levels - increased waist size due to excess abdominal fat - high blood pressure - abnormal levels of cholesterol and triglycerides in the blood cell signaling and regulation cells communicate through a complex network of molecular signaling pathways. for example, on cell surfaces, insulin receptor molecules capture, or bind, insulin molecules circulating in the bloodstream. this interaction between insulin and its receptor prompts the biochemical signals that enable the cells to absorb glucose from the blood and use it for energy. problems in cell signaling systems can set off a chain reaction that leads to diabetes or other diseases. many studies have focused on how insulin signals cells to communicate and regulate action. researchers have identified proteins and pathways that transmit the insulin signal and have mapped interactions between insulin and body tissues, including the way insulin helps the liver control blood glucose levels. researchers have also found that key signals also come from fat cells, which produce substances that cause inflammation and insulin resistance. this work holds the key to combating insulin resistance and diabetes. as scientists learn more about cell signaling systems involved in glucose regulation, they will have more opportunities to develop effective treatments. beta cell dysfunction scientists think beta cell dysfunction is a key contributor to type 2 diabetes. beta cell impairment can cause inadequate or abnormal patterns of insulin release. also, beta cells may be damaged by high blood glucose itself, a condition called glucose toxicity. scientists have not determined the causes of beta cell dysfunction in most cases. single gene defects lead to specific forms of diabetes called maturity-onset diabetes of the young (mody). the genes involved regulate insulin production in the beta cells. although these forms of diabetes are rare, they provide clues as to how beta cell function may be affected by key regulatory factors. other gene variants are involved in determining the number and function of beta cells. but these variants account for only a small percentage of type 2 diabetes cases. malnutrition early in life is also being investigated as a cause of beta cell dysfunction. the metabolic environment of the developing fetus may also create a predisposition for diabetes later in life. risk factors for type 2 diabetes people who develop type 2 diabetes are more likely to have the following characteristics: - age 45 or older - overweight or obese - physically inactive - parent or sibling with diabetes - family background that is african american, alaska native, american indian, asian american, hispanic/latino, or pacific islander american - history of giving birth to a baby weighing more than 9 pounds - history of gestational diabetes - high blood pressure140/90 or aboveor being treated for high blood pressure - high-density lipoprotein (hdl), or good, cholesterol below 35 milligrams per deciliter (mg/dl), or a triglyceride level above 250 mg/dl - polycystic ovary syndrome, also called pcos - prediabetesan a1c level of 5.7 to 6.4 percent; a fasting plasma glucose test result of 100125 mg/dl, called impaired fasting glucose; or a 2-hour oral glucose tolerance test result of 140199, called impaired glucose tolerance - acanthosis nigricans, a condition associated with insulin resistance, characterized by a dark, velvety rash around the neck or armpits - history of cvd the american diabetes association (ada) recommends that testing to detect prediabetes and type 2 diabetes be considered in adults who are overweight or obese and have one or more additional risk factors for diabetes. in adults without these risk factors, testing should begin at age 45.",niddk,causes of diabetes
what causes causes of diabetes ?,"insulin resistance and beta cell dysfunction hormones produced by the placenta and other pregnancy-related factors contribute to insulin resistance, which occurs in all women during late pregnancy. insulin resistance increases the amount of insulin needed to control blood glucose levels. if the pancreas cant produce enough insulin due to beta cell dysfunction, gestational diabetes occurs. as with type 2 diabetes, excess weight is linked to gestational diabetes. overweight or obese women are at particularly high risk for gestational diabetes because they start pregnancy with a higher need for insulin due to insulin resistance. excessive weight gain during pregnancy may also increase risk. family history having a family history of diabetes is also a risk factor for gestational diabetes, suggesting that genes play a role in its development. genetics may also explain why the disorder occurs more frequently in african americans, american indians, and hispanics/latinos. many gene variants or combinations of variants may increase a womans risk for developing gestational diabetes. studies have found several gene variants associated with gestational diabetes, but these variants account for only a small fraction of women with gestational diabetes. future risk of type 2 diabetes because a womans hormones usually return to normal levels soon after giving birth, gestational diabetes disappears in most women after delivery. however, women who have gestational diabetes are more likely to develop gestational diabetes with future pregnancies and develop type 2 diabetes.3 women with gestational diabetes should be tested for persistent diabetes 6 to 12 weeks after delivery and at least every 3 years thereafter. also, exposure to high glucose levels during gestation increases a childs risk for becoming overweight or obese and for developing type 2 diabetes later on. the result may be a cycle of diabetes affecting multiple generations in a family. for both mother and child, maintaining a healthy body weight and being physically active may help prevent type 2 diabetes.",niddk,causes of diabetes
